Date	Client	Region	Month	Year	Quarter	Amount
6-Oct-2021	Sol Company	East	October	2021	Q4	1,706,175
9-Oct-2021	Sol Company	East	October	2021	Q4	1,863,812
11-Oct-2021	Sol Company	East	October	2021	Q4	1,305,768
15-Oct-2021	Sol Company	East	October	2021	Q4	693,940
15-Oct-2021	Sol Company	East	October	2021	Q4	1,456,477
15-Oct-2021	Sol Company	East	October	2021	Q4	677,163
16-Oct-2021	Sol Company	North	October	2021	Q4	192,766
16-Oct-2021	Sol Company	East	October	2021	Q4	1,501,306
18-Oct-2021	Sol Company	East	October	2021	Q4	728,012
22-Oct-2021	Sol Company	East	October	2021	Q4	154,888
23-Oct-2021	Sol Company	North	October	2021	Q4	319,150
24-Oct-2021	Sol Company	North	October	2021	Q4	1,785,872
28-Oct-2021	Sol Company	North	October	2021	Q4	491,015
28-Oct-2021	Sol Company	North	October	2021	Q4	679,174
29-Oct-2021	Sol Company	North	October	2021	Q4	831,388
2-Nov-2021	Sol Company	North	November	2021	Q4	1,301,370
4-Nov-2021	Sol Company	North	November	2021	Q4	956,612
5-Nov-2021	Sol Company	North	November	2021	Q4	1,566,826
6-Nov-2021	Sol Company	North	November	2021	Q4	1,871,003
8-Nov-2021	Sol Company	East	November	2021	Q4	1,538,943
9-Nov-2021	Sol Company	North	November	2021	Q4	149,317
11-Nov-2021	Sol Company	North	November	2021	Q4	1,835,071
12-Nov-2021	Sol Company	North	November	2021	Q4	428,155
13-Nov-2021	Sol Company	West	November	2021	Q4	1,479,869
14-Nov-2021	Sol Company	West	November	2021	Q4	455,008
15-Nov-2021	Sol Company	East	November	2021	Q4	857,548
18-Nov-2021	Sol Company	East	November	2021	Q4	1,698,152
20-Nov-2021	Sol Company	East	November	2021	Q4	1,538,034
22-Nov-2021	Sol Company	East	November	2021	Q4	431,646
23-Nov-2021	Sol Company	West	November	2021	Q4	1,613,353
23-Nov-2021	Sol Company	East	November	2021	Q4	1,891,735
24-Nov-2021	Sol Company	North	November	2021	Q4	1,287,970
25-Nov-2021	Sol Company	West	November	2021	Q4	172,298
26-Nov-2021	Sol Company	West	November	2021	Q4	140,917
29-Nov-2021	Sol Company	West	November	2021	Q4	651,020
29-Nov-2021	Sol Company	West	November	2021	Q4	1,707,982
8-Dec-2021	Sol Company	West	December	2021	Q4	1,093,090
9-Dec-2021	Sol Company	West	December	2021	Q4	768,195
10-Dec-2021	Sol Company	West	December	2021	Q4	753,790
14-Dec-2021	Sol Company	West	December	2021	Q4	597,968
14-Dec-2021	Sol Company	North	December	2021	Q4	1,975,800
18-Dec-2021	Sol Company	West	December	2021	Q4	401,833
20-Dec-2021	Sol Company	South	December	2021	Q4	484,032
20-Dec-2021	Sol Company	East	December	2021	Q4	997,894
22-Dec-2021	Sol Company	West	December	2021	Q4	1,797,272
24-Dec-2021	Sol Company	East	December	2021	Q4	653,332
24-Dec-2021	Sol Company	East	December	2021	Q4	172,372
26-Dec-2021	Sol Company	West	December	2021	Q4	1,152,230
28-Dec-2021	Sol Company	West	December	2021	Q4	202,460
29-Dec-2021	Sol Company	West	December	2021	Q4	1,248,770
4-Jan-2022	Sol Company	North	January	2022	Q1	890,440
4-Jan-2022	Sol Company	South	January	2022	Q1	699,946
12-Jan-2022	Sol Company	East	January	2022	Q1	231,825
12-Jan-2022	Sol Company	East	January	2022	Q1	1,345,108
12-Jan-2022	Sol Company	North	January	2022	Q1	208,248
14-Jan-2022	Sol Company	West	January	2022	Q1	1,368,251
15-Jan-2022	Sol Company	South	January	2022	Q1	1,766,857
16-Jan-2022	Sol Company	South	January	2022	Q1	362,392
18-Jan-2022	Sol Company	East	January	2022	Q1	1,376,384
18-Jan-2022	Sol Company	West	January	2022	Q1	303,946
21-Jan-2022	Sol Company	South	January	2022	Q1	1,446,936
21-Jan-2022	Sol Company	East	January	2022	Q1	1,693,881
27-Jan-2022	Sol Company	South	January	2022	Q1	1,162,971
28-Jan-2022	Sol Company	East	January	2022	Q1	332,072
28-Jan-2022	Sol Company	West	January	2022	Q1	1,509,100
29-Jan-2022	Sol Company	South	January	2022	Q1	1,816,733
30-Jan-2022	Sol Company	North	January	2022	Q1	1,904,892
30-Jan-2022	Sol Company	North	January	2022	Q1	1,844,904
31-Jan-2022	Sol Company	North	January	2022	Q1	769,203
31-Jan-2022	Sol Company	East	January	2022	Q1	1,451,234
1-Feb-2022	Sol Company	South	February	2022	Q1	548,582
2-Feb-2022	Sol Company	North	February	2022	Q1	560,067
2-Feb-2022	Sol Company	South	February	2022	Q1	1,379,309
5-Feb-2022	Sol Company	East	February	2022	Q1	342,741
6-Feb-2022	Sol Company	South	February	2022	Q1	681,756
7-Feb-2022	Sol Company	East	February	2022	Q1	619,416
10-Feb-2022	Sol Company	South	February	2022	Q1	1,229,004
10-Feb-2022	Sol Company	South	February	2022	Q1	1,025,294
10-Feb-2022	Sol Company	North	February	2022	Q1	485,770
11-Feb-2022	Sol Company	South	February	2022	Q1	540,529
13-Feb-2022	Sol Company	East	February	2022	Q1	1,020,997
13-Feb-2022	Sol Company	South	February	2022	Q1	991,075
14-Feb-2022	Sol Company	West	February	2022	Q1	1,909,906
15-Feb-2022	Sol Company	West	February	2022	Q1	867,097
17-Feb-2022	Sol Company	South	February	2022	Q1	1,403,980
20-Feb-2022	Sol Company	East	February	2022	Q1	1,528,172
21-Feb-2022	Sol Company	North	February	2022	Q1	619,639
21-Feb-2022	Sol Company	North	February	2022	Q1	621,829
21-Feb-2022	Sol Company	North	February	2022	Q1	774,735
21-Feb-2022	Sol Company	South	February	2022	Q1	849,848
21-Feb-2022	Sol Company	East	February	2022	Q1	1,322,622
21-Feb-2022	Sol Company	West	February	2022	Q1	1,192,453
22-Feb-2022	Sol Company	South	February	2022	Q1	740,388
24-Feb-2022	Sol Company	North	February	2022	Q1	741,779
25-Feb-2022	Sol Company	South	February	2022	Q1	1,882,278
2-Mar-2022	Sol Company	East	March	2022	Q1	1,599,567
2-Mar-2022	Sol Company	West	March	2022	Q1	163,305
2-Mar-2022	Sol Company	South	March	2022	Q1	1,002,596
4-Mar-2022	Sol Company	East	March	2022	Q1	1,190,683
5-Mar-2022	Sol Company	South	March	2022	Q1	1,051,637
6-Mar-2022	Sol Company	West	March	2022	Q1	264,522
7-Mar-2022	Sol Company	South	March	2022	Q1	412,015
7-Mar-2022	Sol Company	North	March	2022	Q1	1,614,571
8-Mar-2022	Sol Company	East	March	2022	Q1	254,514
9-Mar-2022	Sol Company	South	March	2022	Q1	1,444,944
9-Mar-2022	Sol Company	South	March	2022	Q1	216,677
10-Mar-2022	Sol Company	East	March	2022	Q1	792,194
12-Mar-2022	Sol Company	South	March	2022	Q1	1,068,878
14-Mar-2022	Sol Company	East	March	2022	Q1	1,045,898
15-Mar-2022	Sol Company	North	March	2022	Q1	488,346
16-Mar-2022	Sol Company	South	March	2022	Q1	1,931,891
17-Mar-2022	Sol Company	East	March	2022	Q1	365,633
17-Mar-2022	Sol Company	North	March	2022	Q1	1,960,330
18-Mar-2022	Sol Company	West	March	2022	Q1	1,549,591
20-Mar-2022	Sol Company	South	March	2022	Q1	1,396,686
21-Mar-2022	Sol Company	East	March	2022	Q1	598,158
23-Mar-2022	Sol Company	East	March	2022	Q1	1,128,891
23-Mar-2022	Sol Company	North	March	2022	Q1	1,831,381
24-Mar-2022	Sol Company	West	March	2022	Q1	974,375
25-Mar-2022	Sol Company	South	March	2022	Q1	187,578
27-Mar-2022	Sol Company	South	March	2022	Q1	1,671,909
28-Mar-2022	Sol Company	East	March	2022	Q1	1,049,303
29-Mar-2022	Sol Company	West	March	2022	Q1	255,056
30-Mar-2022	Sol Company	South	March	2022	Q1	1,013,527
30-Mar-2022	Sol Company	East	March	2022	Q1	1,409,749
3-Apr-2022	Sol Company	South	April	2022	Q1	613,870
4-Apr-2022	Sol Company	East	April	2022	Q1	1,733,091
4-Apr-2022	Sol Company	West	April	2022	Q1	350,793
5-Apr-2022	Sol Company	South	April	2022	Q1	861,955
7-Apr-2022	Sol Company	North	April	2022	Q1	1,713,238
11-Apr-2022	Sol Company	North	April	2022	Q1	1,219,629
11-Apr-2022	Sol Company	North	April	2022	Q1	1,489,196
12-Apr-2022	Sol Company	East	April	2022	Q1	1,567,746
14-Apr-2022	Sol Company	South	April	2022	Q1	1,485,483
20-Apr-2022	Sol Company	North	April	2022	Q1	1,210,891
21-Apr-2022	Sol Company	South	April	2022	Q1	1,939,148
21-Apr-2022	Sol Company	East	April	2022	Q1	1,263,558
23-Apr-2022	Sol Company	South	April	2022	Q1	633,445
24-Apr-2022	Sol Company	East	April	2022	Q1	1,293,856
28-Apr-2022	Sol Company	South	April	2022	Q1	1,794,560
30-Apr-2022	Sol Company	South	April	2022	Q1	530,477
30-Apr-2022	Sol Company	North	April	2022	Q1	1,482,817
4-May-2022	Sol Company	South	May	2022	Q2	543,637
4-May-2022	Sol Company	East	May	2022	Q2	793,983
6-May-2022	Sol Company	South	May	2022	Q2	1,736,583
7-May-2022	Sol Company	West	May	2022	Q2	1,366,036
10-May-2022	Sol Company	West	May	2022	Q2	1,695,853
11-May-2022	Sol Company	South	May	2022	Q2	499,256
12-May-2022	Sol Company	East	May	2022	Q2	1,559,663
12-May-2022	Sol Company	North	May	2022	Q2	1,038,488
16-May-2022	Sol Company	North	May	2022	Q2	630,073
17-May-2022	Sol Company	North	May	2022	Q2	1,243,853
17-May-2022	Sol Company	South	May	2022	Q2	717,738
17-May-2022	Sol Company	East	May	2022	Q2	1,886,401
17-May-2022	Sol Company	West	May	2022	Q2	381,940
18-May-2022	Sol Company	South	May	2022	Q2	1,922,753
20-May-2022	Sol Company	North	May	2022	Q2	766,953
21-May-2022	Sol Company	South	May	2022	Q2	1,436,558
22-May-2022	Sol Company	East	May	2022	Q2	359,238
24-May-2022	Titan Industries	West	May	2022	Q2	935,260
24-May-2022	Titan Industries	South	May	2022	Q2	1,170,290
26-May-2022	Titan Industries	East	May	2022	Q2	1,399,111
27-May-2022	Titan Industries	South	May	2022	Q2	1,246,102
27-May-2022	Titan Industries	West	May	2022	Q2	1,349,313
28-May-2022	Titan Industries	South	May	2022	Q2	1,216,686
29-May-2022	Titan Industries	North	May	2022	Q2	1,613,825
29-May-2022	Titan Industries	East	May	2022	Q2	553,592
30-May-2022	Titan Industries	South	May	2022	Q2	1,151,530
30-May-2022	Titan Industries	South	May	2022	Q2	1,505,763
1-Jun-2022	Titan Industries	East	June	2022	Q2	1,654,795
2-Jun-2022	Titan Industries	South	June	2022	Q2	145,397
3-Jun-2022	Titan Industries	East	June	2022	Q2	162,687
5-Jun-2022	Titan Industries	North	June	2022	Q2	1,015,528
8-Jun-2022	Titan Industries	South	June	2022	Q2	1,695,801
9-Jun-2022	Titan Industries	East	June	2022	Q2	1,493,683
9-Jun-2022	Titan Industries	North	June	2022	Q2	299,988
9-Jun-2022	Titan Industries	West	June	2022	Q2	633,604
12-Jun-2022	Titan Industries	South	June	2022	Q2	986,904
13-Jun-2022	Titan Industries	East	June	2022	Q2	1,721,416
14-Jun-2022	Titan Industries	East	June	2022	Q2	768,191
14-Jun-2022	Titan Industries	North	June	2022	Q2	1,678,538
15-Jun-2022	Titan Industries	West	June	2022	Q2	1,482,479
17-Jun-2022	Titan Industries	South	June	2022	Q2	1,360,610
18-Jun-2022	Titan Industries	South	June	2022	Q2	1,327,948
21-Jun-2022	Titan Industries	East	June	2022	Q2	470,519
22-Jun-2022	Titan Industries	West	June	2022	Q2	1,614,083
23-Jun-2022	Titan Industries	South	June	2022	Q2	1,545,186
23-Jun-2022	Titan Industries	East	June	2022	Q2	443,420
27-Jun-2022	Titan Industries	South	June	2022	Q2	1,517,230
27-Jun-2022	Titan Industries	East	June	2022	Q2	1,051,248
28-Jun-2022	Titan Industries	West	June	2022	Q2	873,882
29-Jun-2022	Titan Industries	South	June	2022	Q2	754,301
2-Jul-2022	Titan Industries	North	July	2022	Q3	369,331
4-Jul-2022	Timefall Inc.	North	July	2022	Q3	1,998,763
4-Jul-2022	Timefall Inc.	North	July	2022	Q3	1,183,220
8-Jul-2022	Timefall Inc.	East	July	2022	Q3	798,923
9-Jul-2022	Timefall Inc.	South	July	2022	Q3	747,931
9-Jul-2022	Timefall Inc.	North	July	2022	Q3	936,508
9-Jul-2022	Timefall Inc.	South	July	2022	Q3	580,939
9-Jul-2022	Timefall Inc.	East	July	2022	Q3	1,156,733
9-Jul-2022	Timefall Inc.	South	July	2022	Q3	648,732
12-Jul-2022	Timefall Inc.	East	July	2022	Q3	1,929,643
13-Jul-2022	Timefall Inc.	South	July	2022	Q3	1,967,857
15-Jul-2022	Timefall Inc.	South	July	2022	Q3	259,975
16-Jul-2022	Timefall Inc.	North	July	2022	Q3	1,374,309
16-Jul-2022	Timefall Inc.	South	July	2022	Q3	1,430,419
19-Jul-2022	Timefall Inc.	East	July	2022	Q3	1,648,652
25-Jul-2022	Timefall Inc.	South	July	2022	Q3	608,773
25-Jul-2022	Timefall Inc.	West	July	2022	Q3	1,752,206
26-Jul-2022	Timefall Inc.	West	July	2022	Q3	678,100
31-Jul-2022	Timefall Inc.	South	July	2022	Q3	1,681,097
1-Aug-2022	Timefall Inc.	East	August	2022	Q3	615,129
1-Aug-2022	Timefall Inc.	North	August	2022	Q3	1,982,446
2-Aug-2022	Timefall Inc.	North	August	2022	Q3	1,953,112
2-Aug-2022	Timefall Inc.	North	August	2022	Q3	1,334,216
5-Aug-2022	Timefall Inc.	South	August	2022	Q3	923,297
5-Aug-2022	Timefall Inc.	East	August	2022	Q3	1,060,035
5-Aug-2022	Timefall Inc.	West	August	2022	Q3	1,213,464
6-Aug-2022	Timefall Inc.	South	August	2022	Q3	1,441,704
10-Aug-2022	Timefall Inc.	North	August	2022	Q3	509,308
10-Aug-2022	Timefall Inc.	South	August	2022	Q3	795,151
11-Aug-2022	Timefall Inc.	East	August	2022	Q3	970,001
13-Aug-2022	Timefall Inc.	West	August	2022	Q3	1,323,102
14-Aug-2022	Timefall Inc.	South	August	2022	Q3	1,719,288
15-Aug-2022	Timefall Inc.	East	August	2022	Q3	545,305
15-Aug-2022	Timefall Inc.	South	August	2022	Q3	1,100,065
17-Aug-2022	Timefall Inc.	West	August	2022	Q3	1,178,486
23-Aug-2022	Timefall Inc.	South	August	2022	Q3	725,587
23-Aug-2022	Timefall Inc.	North	August	2022	Q3	1,682,112
24-Aug-2022	Timefall Inc.	East	August	2022	Q3	1,283,815
26-Aug-2022	Timefall Inc.	South	August	2022	Q3	1,728,548
29-Aug-2022	Timefall Inc.	South	August	2022	Q3	1,184,509
31-Aug-2022	Timefall Inc.	East	August	2022	Q3	1,403,679
1-Sep-2022	Timefall Inc.	South	September	2022	Q3	1,182,590
2-Sep-2022	Timefall Inc.	East	September	2022	Q3	218,240
7-Sep-2022	Timefall Inc.	North	September	2022	Q3	1,793,709
11-Sep-2022	Timefall Inc.	South	September	2022	Q3	881,630
12-Sep-2022	Timefall Inc.	East	September	2022	Q3	1,579,357
12-Sep-2022	Timefall Inc.	North	September	2022	Q3	1,881,690
12-Sep-2022	Timefall Inc.	West	September	2022	Q3	425,145
12-Sep-2022	Timefall Inc.	South	September	2022	Q3	170,272
13-Sep-2022	Timefall Inc.	East	September	2022	Q3	1,340,840
15-Sep-2022	Timefall Inc.	East	September	2022	Q3	1,731,924
15-Sep-2022	Timefall Inc.	North	September	2022	Q3	1,030,957
16-Sep-2022	Timefall Inc.	West	September	2022	Q3	247,066
18-Sep-2022	Timefall Inc.	South	September	2022	Q3	250,567
20-Sep-2022	Timefall Inc.	South	September	2022	Q3	1,186,037
21-Sep-2022	Timefall Inc.	East	September	2022	Q3	1,537,340
28-Sep-2022	Timefall Inc.	West	September	2022	Q3	552,073
29-Sep-2022	Timefall Inc.	South	September	2022	Q3	686,369
30-Sep-2022	Timefall Inc.	East	September	2022	Q3	953,560
1-Oct-2022	Timefall Inc.	South	October	2022	Q4	1,135,057
2-Oct-2022	Timefall Inc.	East	October	2022	Q4	774,526
2-Oct-2022	Timefall Inc.	West	October	2022	Q4	1,015,942
2-Oct-2022	Timefall Inc.	South	October	2022	Q4	1,993,520
4-Oct-2022	Timefall Inc.	North	October	2022	Q4	259,226
5-Oct-2022	Timefall Inc.	North	October	2022	Q4	500,000 
6-Oct-2022	Timefall Inc.	North	October	2022	Q4	480,000 
6-Oct-2022	Timefall Inc.	East	October	2022	Q4	1,323,102
7-Oct-2022	Timefall Inc.	South	October	2022	Q4	1,719,288
7-Oct-2022	Timefall Inc.	North	October	2022	Q4	545,305
8-Oct-2022	Timefall Inc.	South	October	2022	Q4	1,100,065
9-Oct-2022	Timefall Inc.	East	October	2022	Q4	1,178,486
11-Oct-2022	Timefall Inc.	South	October	2022	Q4	725,587
11-Oct-2022	Timefall Inc.	East	October	2022	Q4	1,682,112
13-Oct-2022	Timefall Inc.	South	October	2022	Q4	1,283,815
13-Oct-2022	Timefall Inc.	South	October	2022	Q4	1,728,548
15-Oct-2022	Bridges Company	North	October	2022	Q4	1,184,509
15-Oct-2022	Bridges Company	South	October	2022	Q4	1,403,679
19-Oct-2022	Bridges Company	East	October	2022	Q4	1,182,590
20-Oct-2022	Bridges Company	South	October	2022	Q4	789,000 
23-Oct-2022	Titan Industries	West	October	2022	Q4	302,000 
24-Oct-2022	Titan Industries	West	October	2022	Q4	102,000 
25-Oct-2022	Titan Industries	South	October	2022	Q4	50,000 
27-Oct-2022	Titan Industries	East	October	2022	Q4	720,000 
27-Oct-2022	Titan Industries	North	October	2022	Q4	70,000 
29-Oct-2022	ABC Corporation	North	October	2022	Q4	50,500 
30-Oct-2022	Chiral Corporation	North	October	2022	Q4	63,900 
